Tag,content
p,The Technical Education Quality Improvement Programme aims to upscale and support ongoing efforts of GOI to improve quality of technical education and enhance existing capacities of the institutions to become dynamic, demand-driven, quality conscious, efficient and forward looking, responsive to rapid economic and technological developments occurring both at national and international levels.
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,TEQIP
h3,Research
h3,Academics
h3,Facilities
h3,Information

104:http://pec.ac.in/library
p,Quick Links
p,Central Library offers its services to about 3000 users comprising of undergraduate, postgraduate students and research scholars of different branches of Engineering, Faculty and Staff from various departments of the Institute and retired Faculty of the Institute.
p,Library is housed in an area of 27000 sq. feet, having two interlinked buildings as Old Block and New Block. New Block is a spacious library extension block consisting of three separate floors with centrally air-conditioning facility.
p,Library is organized into various sections viz. Circular Section, Periodical Section, Reference Section, Multimedia Section, Newspaper/ Magazine Section, Technical Section, Book Bank (General and book bank SC/ST), Binding Section, which are manned by professionally qualified staff.
p,Library is member of INDEST-AICTE Consortium under the Ministry of HRD since 2003 and UGC-Infonet Consortium under INFLIBNET since 2011. However, based on the recommendation of an Expert Committee, the MHRD has formed e-ShodhSindhu merging three consortia initiatives, namely UGC-INFONET Digital Library Consortium, NLIST and INDEST-AICTE Consortium.
p,Lending Services
p,Monday to Friday 9 A.M. to 5 P.M.
p,Reading Halls
p,Monday to Friday 9 A.M. to 10 P.M.
p,Saturday, Sunday and Institute Holidays 9 A.M. to 5 P.M.
p,During Mid Term and End-Semester exam and a week before End-Semester Exam
p,All seven days 9 A.M. to 12 midnight
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Central Library
h3,Research
h3,Academics
h3,Facilities
h3,Information

105:http://pec.ac.in/teqip-third-phase
p,Archive
p,Quick Links
p,The Technical Education Quality Improvement Programme of Government of India (TEQIP)
p,The Technical Education Quality Improvement Programme aims to upscale and support ongoing efforts of GOI to improve quality of technical education and enhance existing capacities of the institutions to become dynamic, demand-driven, quality conscious, efficient and forward looking, responsive to rapid economic and technological developments occurring both at national and international levels.
p,The Project, Third phase of Technical Education Quality Improvement Programme (referred to as TEQIP-III) is fully integrated with the Twelfth Five-year Plan objectives for Technical Education as a key component for improving the quality of Engineering Education in existing institutions with a special consideration for Low Income States and Special Category States and support to strengthen few affiliated technical universities to improve their policy, academic and management practices.
p,The Project will focus on the following objectives:
p,The Institute has been selected as a mentor institute (sub component 1.3) in TEQIP-III & assigned Jawaharlal Nehru Govt. Engineering College, Sundernagar (sub component 1.1) as a mentee institute vide the letter no. AC/TEQIP-III/MHRD/2017 received from NPIU on dated 30/07/2017. The TEQIP-III has already commenced from 1st April 2017 and shall conclude by 31st March 2020.
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,TEQIP-III
h3,TEQIP-III Documents
h3,TEQIP-II
h3,Research
h3,Academics
h3,Facilities
h3,Information

106:http://pec.ac.in/admissions
p,Quick Links
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Admissions
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

107:http://pec.ac.in/tnp/about-cell
p,Quick Links
p,Career Development & Guidance Centre offers an all-round career solution to the students. Centre guides the students to decide and pursue their dream careers in different sectors be it engineering, IT, Analytics, Consulting , research and development, Operations etc . The whole placement process is organised and executed by this centre . The campus interviews are held under the supervison and jurisdiction of this centre and relevant feedback is obtained fom the industry . Career Development and Guidance Centre works hard to arrange full semester industrial internship , which is stipulated under the academic curriculum . The centre has kept a close liaison with many companies in the country.
p,The centre also arranges career talks for dissemination of knowledge regarding the employment opportunities in the industry related to the relevant fields and interest of the students . Centre keeps record of the students who undergo internships and the companies which come for recruitment. In addition Finishing School / Soft Skills Development Workshops are also organised to improve the communication skills of students.
p,Centre encourages visits to the industries by the institute students and arranges industrial problems to be worked out by students as part of their projects . It also takes suggestions from members of the Industry regarding designing / changing of curriculum .
p,Centre takes care of :
p,a) Career Development & Guidance Program
p,b) Internship & Full Time Placement Activities
p,c) Facilitate Pre-Placement visits to the companies
p,d) Communication, Networking & Relationship Building with Potential Recruiters.
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Career Development & Guidance Centre
h3,Research
h3,Academics
h3,Facilities
h3,Information

108:http://pec.ac.in/tenders
p,Quick Links
p,E-Tenders are invited for Purchase of Microsoft Campus Agreement by Punjab Engineering College (Deemed to be University) Chandigarh Sector 12, Chandigarh 160012
p,Archive of Previous Tenders
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

109:http://pec.ac.in/rules-guidelines-forms
p,Quick Links
p,Archive
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

110:http://pec.ac.in/library
p,Quick Links
p,Central Library offers its services to about 3000 users comprising of undergraduate, postgraduate students and research scholars of different branches of Engineering, Faculty and Staff from various departments of the Institute and retired Faculty of the Institute.
p,Library is housed in an area of 27000 sq. feet, having two interlinked buildings as Old Block and New Block. New Block is a spacious library extension block consisting of three separate floors with centrally air-conditioning facility.
p,Library is organized into various sections viz. Circular Section, Periodical Section, Reference Section, Multimedia Section, Newspaper/ Magazine Section, Technical Section, Book Bank (General and book bank SC/ST), Binding Section, which are manned by professionally qualified staff.
p,Library is member of INDEST-AICTE Consortium under the Ministry of HRD since 2003 and UGC-Infonet Consortium under INFLIBNET since 2011. However, based on the recommendation of an Expert Committee, the MHRD has formed e-ShodhSindhu merging three consortia initiatives, namely UGC-INFONET Digital Library Consortium, NLIST and INDEST-AICTE Consortium.
p,Lending Services
p,Monday to Friday 9 A.M. to 5 P.M.
p,Reading Halls
p,Monday to Friday 9 A.M. to 10 P.M.
p,Saturday, Sunday and Institute Holidays 9 A.M. to 5 P.M.
p,During Mid Term and End-Semester exam and a week before End-Semester Exam
p,All seven days 9 A.M. to 12 midnight
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Central Library
h3,Research
h3,Academics
h3,Facilities
h3,Information

111:http://pec.ac.in/teqip-third-phase
p,Archive
p,Quick Links
p,The Technical Education Quality Improvement Programme of Government of India (TEQIP)
p,The Technical Education Quality Improvement Programme aims to upscale and support ongoing efforts of GOI to improve quality of technical education and enhance existing capacities of the institutions to become dynamic, demand-driven, quality conscious, efficient and forward looking, responsive to rapid economic and technological developments occurring both at national and international levels.
p,The Project, Third phase of Technical Education Quality Improvement Programme (referred to as TEQIP-III) is fully integrated with the Twelfth Five-year Plan objectives for Technical Education as a key component for improving the quality of Engineering Education in existing institutions with a special consideration for Low Income States and Special Category States and support to strengthen few affiliated technical universities to improve their policy, academic and management practices.
p,The Project will focus on the following objectives:
p,The Institute has been selected as a mentor institute (sub component 1.3) in TEQIP-III & assigned Jawaharlal Nehru Govt. Engineering College, Sundernagar (sub component 1.1) as a mentee institute vide the letter no. AC/TEQIP-III/MHRD/2017 received from NPIU on dated 30/07/2017. The TEQIP-III has already commenced from 1st April 2017 and shall conclude by 31st March 2020.
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,TEQIP-III
h3,TEQIP-III Documents
h3,TEQIP-II
h3,Research
h3,Academics
h3,Facilities
h3,Information

112:http://pec.ac.in/admissions
p,Quick Links
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Admissions
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

113:http://pec.ac.in/tnp/about-cell
p,Quick Links
p,Career Development & Guidance Centre offers an all-round career solution to the students. Centre guides the students to decide and pursue their dream careers in different sectors be it engineering, IT, Analytics, Consulting , research and development, Operations etc . The whole placement process is organised and executed by this centre . The campus interviews are held under the supervison and jurisdiction of this centre and relevant feedback is obtained fom the industry . Career Development and Guidance Centre works hard to arrange full semester industrial internship , which is stipulated under the academic curriculum . The centre has kept a close liaison with many companies in the country.
p,The centre also arranges career talks for dissemination of knowledge regarding the employment opportunities in the industry related to the relevant fields and interest of the students . Centre keeps record of the students who undergo internships and the companies which come for recruitment. In addition Finishing School / Soft Skills Development Workshops are also organised to improve the communication skills of students.
p,Centre encourages visits to the industries by the institute students and arranges industrial problems to be worked out by students as part of their projects . It also takes suggestions from members of the Industry regarding designing / changing of curriculum .
p,Centre takes care of :
p,a) Career Development & Guidance Program
p,b) Internship & Full Time Placement Activities
p,c) Facilitate Pre-Placement visits to the companies
p,d) Communication, Networking & Relationship Building with Potential Recruiters.
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Career Development & Guidance Centre
h3,Research
h3,Academics
h3,Facilities
h3,Information

114:http://pec.ac.in/tenders
p,Quick Links
p,E-Tenders are invited for Purchase of Microsoft Campus Agreement by Punjab Engineering College (Deemed to be University) Chandigarh Sector 12, Chandigarh 160012
p,Archive of Previous Tenders
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

115:http://pec.ac.in/admissions/btech
p,Quick Links
p,B.Tech. JoSAA/ CSAB
p,Admissions to B.Tech. programme for Genral/ SC/ ST/ EWS/ PwD categories in Punjab Engineering College (Deemed to be University) is based on JEE Main rank. The seats for the B.Tech. programmes for academic session 2020-21 will be filled through Central Seat Allocation Board (CSAB)/ JoSAA). For details information visit website:
p,JoSAA Website: https://josaa.nic.in
p,CSAB Website: https://csab.nic.in
p,For Sportspersons, Sons/Daughters/Spouses of Military/ Paramilitary Personnel, Children/ Grandchildren of Freedom Fighters and Kashmiri Migrants and Kashmiri Pandits/ Kashmiri Hindu Families (Non-Migrants) living in Kashmiri Valley, admissions will be conducted by the institute itself and a separate advertisement will be issued.
p,For further updates, visit the institute website regularly.
p,B.TECH. FEE STRUCTURE
p,Fee to be paid by candidates allotted B.Tech. seat in PEC are as follows:-
p,Admission fee
p,Rs. 4,000
p,One-time student service fee
p,Rs. 5,000
p,Refundable deposit
p,Rs. 5,000
p,Semester fees
p,Academic
p,Rs. 77,500
p,Other facilities & services
p,Rs. 5,250
p,Total payable at the time of admission (for day scholar) Rs. 96,750/-#
p,ANNUAL HOSTEL FEE (ADDITIONAL)*
p,Refundable security (One Time Only)
p,Rs. 5,000
p,Hostel Fee & Mess Establishment charges
p,Rs. 56,600
p,Mess Advance
p,Rs. 2,500
p,Maintenance Charges
p,Rs. 9,000
p,Total additional sum payable for hostel facilities Rs. 73,100/-#
p,* No hostel accommodation will be provided to the students admitted under Chandigarh Quota.
p,Note: The fees is subject to revision without any prior notice.
p,For all information regarding B.Tech. admissions visit our website or contact Help Desk:
p,Website:- (https://pec.ac.in)
p,Telephone No. : 0172-2753813, 2753814 (From Monday to Friday, 9.00 A.M - 5.00 P.M) Email Id: admissions@pec.edu.in
p,DASA scheme will be coordinated by National Institute of Technology Karnataka, Surathkal for the year 2020-21
p,The NRI /Foreign seats for the B.Tech. programmes for academic session 2020-21 is being filled through DASA. Please visit DASA website for all the latest information and details.
p,From DASA 2021-22 onwards, admissions will be based on JEE Main ranks.
p,For more information visit: https://dasanit.org/
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Admissions
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

116:http://pec.ac.in/admissions/mtech
p,Quick Links
p,CCMT
p,Admissions to M.Tech. programme in Punjab Engineering College (Deemed to be University) is based on GATE score. The seats for the M.Tech. programmes for academic session 2020-21 will be filled through Centralized Counselling for M.Tech./M.Arch./M.Plan. Admissions (CCMT-2020). Please visit CCMT website for all the latest information and details (https://ccmt.nic.in)
p,For Information please visit our website or contact Help Desk:
p,Telephone No. : 0172-2753813, 2753814 (From Monday to Friday, 9.00 A.M - 5.00 P.M) Email Id: admissions@pec.edu.in
p,M.TECH. FEES AND EXPENSES
p,Fee to be paid by candidates allotted M.Tech. seat in PEC are as follows:-
p,For GATE qualified candidates (Excluding Self-Supporting M.Tech. Programme)
p,Part Time, Sponsored (GATE/ Non-GATE
p,Candidates) and Self-Supporting M.Tech.
p,Programme
p,One time (at Admission only)
p,Admission Fee
p,Rs. 3000
p,Rs. 3000
p,One time student service fee
p,Rs. 5000
p,Rs. 5000
p,Refundable Deposit
p,Rs. 5000
p,Rs. 5000
p,Semester Fees
p,Academic
p,Rs. 35000
p,Rs. 57,500
p,Other facilities & services
p,Rs. 5250
p,Rs. 5250
p,Total payable at the time of admission (for day scholar)
p,Rs. 53,250
p,Rs. 75,750
p,ANNUAL HOSTEL FEE (ADDITIONAL)*
p,Refundable security (One time only)
p,Rs. 5,000
p,Hostel Fee & Mess Establishment charges
p,Rs. 56,600
p,Mess Advance
p,Rs. 2,500
p,Maintenance Charges
p,Rs. 9,000
p,Total additional sum payable for hostel facilities Rs. 73,100/-#
p,* Limited hostel accommodation will be provided to M.Tech. students subject to the availability.
p,Note: The fees is subject to revision without any prior notice.
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Admissions
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

117:http://pec.ac.in/admissions/phd
p,Quick Links
p,Admission to the PhD programme will be made on the basis of interview as determined by PhD Admission Committee of the concerned Department provided the candidate fulfils all the requirements at the Institute level and the selected candidate deposits the requisite fees for the PhD Programme.
p,Admission Process
p,The online applications received by the institute during admissions will be processed in the respective departments for interview.
p,Note: Internal faculty/ staff members, who are GATE/ NET qualified, will be eligible for admission through interview only, while Non-GATE/ Non-NET candidates will be admitted through interview and written test.
p,The admission to PhD programme at any time during the session is allowed to give opportunity to candidates with high accomplishments who have been awarded government recognized scholarships in Sciences, Engineering, Social Sciences and Management and have the requirement of joining within a stipulated time frame. Such admissions shall be approved by the Chairman Senate on the recommendations of DRC and Dean Academic Affairs.
p,The PhD admission committee of the department will consist of Head of the department, members of DRC and potential supervisors in various areas.
p,-->
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Admissions
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

118:http://pec.ac.in/rules-guidelines-forms
p,Quick Links
p,Archive
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

119:http://pec.ac.in/library
p,Quick Links
p,Central Library offers its services to about 3000 users comprising of undergraduate, postgraduate students and research scholars of different branches of Engineering, Faculty and Staff from various departments of the Institute and retired Faculty of the Institute.
p,Library is housed in an area of 27000 sq. feet, having two interlinked buildings as Old Block and New Block. New Block is a spacious library extension block consisting of three separate floors with centrally air-conditioning facility.
p,Library is organized into various sections viz. Circular Section, Periodical Section, Reference Section, Multimedia Section, Newspaper/ Magazine Section, Technical Section, Book Bank (General and book bank SC/ST), Binding Section, which are manned by professionally qualified staff.
p,Library is member of INDEST-AICTE Consortium under the Ministry of HRD since 2003 and UGC-Infonet Consortium under INFLIBNET since 2011. However, based on the recommendation of an Expert Committee, the MHRD has formed e-ShodhSindhu merging three consortia initiatives, namely UGC-INFONET Digital Library Consortium, NLIST and INDEST-AICTE Consortium.
p,Lending Services
p,Monday to Friday 9 A.M. to 5 P.M.
p,Reading Halls
p,Monday to Friday 9 A.M. to 10 P.M.
p,Saturday, Sunday and Institute Holidays 9 A.M. to 5 P.M.
p,During Mid Term and End-Semester exam and a week before End-Semester Exam
p,All seven days 9 A.M. to 12 midnight
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Central Library
h3,Research
h3,Academics
h3,Facilities
h3,Information

120:http://pec.ac.in/teqip-third-phase
p,Archive
p,Quick Links
p,The Technical Education Quality Improvement Programme of Government of India (TEQIP)
p,The Technical Education Quality Improvement Programme aims to upscale and support ongoing efforts of GOI to improve quality of technical education and enhance existing capacities of the institutions to become dynamic, demand-driven, quality conscious, efficient and forward looking, responsive to rapid economic and technological developments occurring both at national and international levels.
p,The Project, Third phase of Technical Education Quality Improvement Programme (referred to as TEQIP-III) is fully integrated with the Twelfth Five-year Plan objectives for Technical Education as a key component for improving the quality of Engineering Education in existing institutions with a special consideration for Low Income States and Special Category States and support to strengthen few affiliated technical universities to improve their policy, academic and management practices.
p,The Project will focus on the following objectives:
p,The Institute has been selected as a mentor institute (sub component 1.3) in TEQIP-III & assigned Jawaharlal Nehru Govt. Engineering College, Sundernagar (sub component 1.1) as a mentee institute vide the letter no. AC/TEQIP-III/MHRD/2017 received from NPIU on dated 30/07/2017. The TEQIP-III has already commenced from 1st April 2017 and shall conclude by 31st March 2020.
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,TEQIP-III
h3,TEQIP-III Documents
h3,TEQIP-II
h3,Research
h3,Academics
h3,Facilities
h3,Information

121:http://pec.ac.in/admissions
p,Quick Links
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Admissions
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

122:http://pec.ac.in/tnp/about-cell
p,Quick Links
p,Career Development & Guidance Centre offers an all-round career solution to the students. Centre guides the students to decide and pursue their dream careers in different sectors be it engineering, IT, Analytics, Consulting , research and development, Operations etc . The whole placement process is organised and executed by this centre . The campus interviews are held under the supervison and jurisdiction of this centre and relevant feedback is obtained fom the industry . Career Development and Guidance Centre works hard to arrange full semester industrial internship , which is stipulated under the academic curriculum . The centre has kept a close liaison with many companies in the country.
p,The centre also arranges career talks for dissemination of knowledge regarding the employment opportunities in the industry related to the relevant fields and interest of the students . Centre keeps record of the students who undergo internships and the companies which come for recruitment. In addition Finishing School / Soft Skills Development Workshops are also organised to improve the communication skills of students.
p,Centre encourages visits to the industries by the institute students and arranges industrial problems to be worked out by students as part of their projects . It also takes suggestions from members of the Industry regarding designing / changing of curriculum .
p,Centre takes care of :
p,a) Career Development & Guidance Program
p,b) Internship & Full Time Placement Activities
p,c) Facilitate Pre-Placement visits to the companies
p,d) Communication, Networking & Relationship Building with Potential Recruiters.
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Career Development & Guidance Centre
h3,Research
h3,Academics
h3,Facilities
h3,Information

123:http://pec.ac.in/tenders
p,Quick Links
p,E-Tenders are invited for Purchase of Microsoft Campus Agreement by Punjab Engineering College (Deemed to be University) Chandigarh Sector 12, Chandigarh 160012
p,Archive of Previous Tenders
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

124:http://pec.ac.in/events/pec-placements-lead-way-%E2%80%93-break-all-records-last-years-and-bags-highest-salaries-year
p,Quick Links
p,Career Development & Guidance Cell of PEC is dedicatedly preparing students to meet their career aspirations, which has resulted from establishing networking connections and relationships between students, alumni, and potential employers. Large companies that seek out graduated students as well as do the hiring for six-month internship from PEC include Arcesium, Microsoft India Development Centre, Goldman Sachs JP Morgan, Texas Instruments, General Electric, Western Digital, BCG, ITC, Maruti Suzuki, Amazon, American Express, McKinsey, Tata Motors, Amadeus, Samsung R&D, Uber, Ramboll, WS Atkins, Nestle India, Infosys, Wipro and many other Fortune 500 companies. Over the years, PPOs have been a new trend of hiring talent from PEC. The season saw a total 68 Pre-Placement Offers made to the students on the basis of Internships and 02 International Placements from Slingshot, US.
p,The new companies, which have been invited and visited this year, are: Shell IT, Exxonmobil, Chegg, Oyo, Directi and many new startups have been included as a part of special drive.
p,A total of 136 companies declared the result in form of On Campus Placements & Pre-Placement Offers at Punjab Engineering College, Chandigarh.
p,The institute witnessed many Fortune 500 companies, companies had opened up for various profiles lying under different line of services/ sectors like Analytics & Consulting, Information Technology, Software Development, Business Development, Operations & Services and Core Engineering.
p,The institute is striving to increase the number of companies visiting the campus so as to increase the number of opportunities for the upcoming batches. The Career Development & Guidance Centre of the institute firmly believes that for the coming years the placement scenario of PEC will exponentially increase given the fact that the batch strength has increased.
p,Salaries:
p,The median salary saw a substantial increase in most disciplines.
p,The highest median salary increase was experienced by Aerospace Engineering by 32.12%, followed by Computer Science Engineering (24.45%), Electronics & Communication Engineering (19.55%), Materials & Metallurgical Engineering (10.556%) and Electrical Engineering (8.33%).
p,The institute saw various high package offering companies, giving a huge increase in the statistics of the highest package offered to all the disciplines,
p,Electronics & Communication Engineering saw a 94.28% increase in its highest salary, opening great avenues of development in this particular discipline, closely followed by Production & Industrial Engineering (76.47%).
p,CDGC In Media (2018)
p,PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life.
p,A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India.
p,PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi.
p,All Top Stories
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Happenings
h3,Institute
h3,PEC Placements lead the way – break all records of last Years and bags highest salaries this Year!
h3,Top Stories
h3,Research
h3,Academics
h3,Facilities
h3,Information

125:http://pec.ac.in/events/open-house-2017-day-2
p,Quick Links
p,The second day of the Open House Event- an annual exhibition of projects and innovative designs by students organised at PEC University Of Technology continued with the exuberant momentum of the previous day.
p,More than 400 students from 30 different government model senior secondary schools and private schools of the tri-city including Strawberry Fields High School and Mount Carmel, attended the event with the aim of creating awareness and infusing excitement and passion among youngsters.
p,With the lighting of the lamp, the event was inaugurated by the Chief Guest Shri Dhanpat Singh, IAS who is an accomplished member of our society with a versatile and revered career. The guest of honour- Mr. K.K Vohra (Head of PECOSA) graced the event with his presence. Mr. Kamal Singhani (Vice President, IBM Sales) was the Industry Expert for the day. This varied roster of experts helped facilitate the dialogue between academia and industry that the event wishes to promote.
p,Dr. Manoj K Arora, Director, PEC University of Technology, Chandigarh presented the students with an insight into the institute. Addressing the school students, the Director emphasised on the institute's established brand name and stellar placement records, giving them an overview of the prestigious university.
p,Following this, the students were taken on a guided tour of the Institute and were introduced to various departments and laboratories where the projects under Open House 2017 were exhibited. It was a great experience for them since it provided an opportunity to understand university level projects and gave them a glimpse of their future learning environment.
p,The closing ceremony commenced with the prize distribution ceremony where the students with the winning projects received their prizes. The Convener for Open House 2017, Mr. Jasleen Singh Malhi congratulated the winners and reiterated the significance of exposing the young minds to the vast scope of innovation in the fields of engineering and technology.
p,With a melodious treat from the Institute's music club and an enthralling performance by the Dramatics club, the event came to a successful end; levelling up the standards of academics of the Institution and igniting the passion for innovation in a lot of young minds.
p,PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life.
p,A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India.
p,PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi.
p,All Top Stories
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Happenings
h3,Institute
h3,Open House 2017: Day 2
h3,Top Stories
h3,Research
h3,Academics
h3,Facilities
h3,Information

126:http://pec.ac.in/events/open-house-2017-day-1
p,Quick Links
p,To offer the world an insight into the wonderful work undertaken by the students of the reputed institute, PEC University of Technology has organised a two-day event, Open House 2017 (18th and 19th April 2017). It is an annual exhibition of innovative projects designed by PEC students.
p,Started with an aim to create more awareness about science and its impact among the general public, the event has drawn ever increasing crowds with each passing year. And this year was no exception.
p,For day 1, students from all years and branches displayed their path-breaking innovation and dedication through exciting projects such as Self balancing robot, Home Physiotherapy, Solar-powered Weather Monitoring System and Crop Monitoring using Drones.
p,The expert panelists- Renu Vig (Director UIET), KK Vohra (President PECOSA) and Lalit Singla (Senior Project Manager, Infosys Limited) examined the projects with deliberate care and evaluated them for the purpose of determining worthy winners.
p,After evaluation of the projects the prizes were announced and cash prizes of Rs. 5000, Rs.3000, Rs.2000 and Rs.1000 each were given away to first, second, third and consolation winners.
p,The first prize was bagged by the project *Women security assistance system with GPS tracking and messaging system*, the second prize by *Parallel operation using PLC*, and the third prize by *Crop health monitoring using drones*. Consolation prizes were given to *Regenerative portable in-room AC* and *Human fall detection system with IMU sensors*.
p,Day 1 was a resounding success as everyone in attendance left with immense hope for the future of our nation, budding with such hard working and innovative young minds.
p,PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life.
p,A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India.
p,PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi.
p,All Top Stories
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Happenings
h3,Institute
h3,Open House 2017: Day 1
h3,Top Stories
h3,Research
h3,Academics
h3,Facilities
h3,Information

127:http://pec.ac.in/workshop-entrepreneurship
p,Quick Links
p,Career Development and Guidance Centre , PEC University of Technology organized an interactive session on “ Entrepreneurship “ on 10th April ‘2017 at PEC Auditorium, to encourage the students to start their own start-up . Mr. Mohinder Singh Chahal , founder of eshukar.com shared his expertise and gave up pep up talk to the students on Entrepreneurship.
p,During the session he emphasized on the “key skills required to being entrepreneur, what is the biggest challenge as an entrepreneur and Pre-Startup and Post-Startup factors for success. After the session Q&A session was held , Students asked many questions regarding startup ecosystem in Chandigarh and they cleared their doubts on conversation with mentor Mohinder Singh Chahal.
p,It was first of its kind where many students expressed interest to start their own startup and were happy to know about how to go about convincing the Investor & Mentor for Funding & Mentoring their projects.
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Research
h3,Academics
h3,Facilities
h3,Information

128:http://pec.ac.in/soft-skill-development-program-college-corporate
p,Quick Links
p,Soft Skills Development Program – “College to Corporate”
p,With the number of college graduates rising every year, employers are becoming critical and strategic in selection of the recruits. The engineering industry nowadays not only looks for technical skills but also the overall personality of its recruits. To bridge the gap between requirements of the industry and the skills of the students, Soft Skills Development Program - "College to Corporate" is being organized for BE second year students by Career Development & Guidance Centre (CDGC), PEC University of Technology, Chandigarh from 06th to 08th March, 2017. It aimed at inculcating and building upon the basic soft skills that are required by every student while appearing for the recruitment process of any company. Soft skills are identified as the most critical skills in the current global job market especially in the fast moving era of technology. These skills include Personal Interviews, SWOT (Strength Weakness Opportunity Threat) Analysis, Writing & Communication skills, Resume Writing, Group Discussions, Report writing and Presentation Skills. This concept received an overwhelming response as the students registered in numbers as high as 500.
p,Experts were invited from M/s HUM Consulting, Hyderabad to deliver lectures to the students. The session on communication and writing skills enlightened the students about the importance of effective communication and spoken dialect in the corporate filed. SWOT analysis session helped the students to identify their strengths and weaknesses while building the techniques to improve them. An insightful session on group discussions was also conducted. Also, a session on personal interviews was taken up where the students were taught the nuances of how to conduct themselves during an interview. The techniques of resume writing were also discussed to great extent as it gave an introduction on how to build a CV.
